date,name,percentage
2020-08-01,SSE4.1,0.9821
2020-08-01,SSE4.2,0.9758
2020-08-01,SSE4a,0.2407
2020-08-01,SSSE3,0.9878
2020-09-01,AVX,0.9367
2020-09-01,AVX2,0.7788
2020-09-01,AVX512CD,0.0058
2020-09-01,AVX512ER,0.0000
2020-09-01,AVX512F,0.0058
2020-09-01,AVX512PF,0.0000
2020-09-01,AVX512VNNI,0.0043
2020-09-01,SSE2,1.0000
2020-09-01,SSE3,1.0000
2020-09-01,SSE4.1,0.9833
2020-09-01,SSE4.2,0.9774
2020-09-01,SSE4a,0.2488
2020-09-01,SSSE3,0.9888
2020-10-01,AVX,0.9306
2020-10-01,AVX2,0.7771
2020-10-01,AVX512CD,0.0070
2020-10-01,AVX512ER,0.0000
2020-10-01,AVX512F,0.0070
2020-10-01,AVX512PF,0.0000
2020-10-01,AVX512VNNI,0.0055
2020-10-01,SSE2,1.0000
2020-10-01,SSE3,1.0000
2020-10-01,SSE4.1,0.9837
2020-10-01,SSE4.2,0.9778
2020-10-01,SSE4a,0.2489
2020-10-01,SSSE3,0.9889
2020-11-01,AVX,0.9389
2020-11-01,AVX2,0.7881
2020-11-01,AVX512CD,0.0076
2020-11-01,AVX512ER,0.0000
2020-11-01,AVX512F,0.0076
2020-11-01,AVX512PF,0.0000
2020-11-01,AVX512VNNI,0.0061
2020-11-01,SSE2,1.0000
2020-11-01,SSE3,1.0000
2020-11-01,SSE4.1,0.9838
2020-11-01,SSE4.2,0.9781
2020-11-01,SSE4a,0.2562
2020-11-01,SSSE3,0.9891
2020-12-01,AVX,0.9493
2020-12-01,AVX2,0.8249
2020-12-01,AVX512CD,0.0077
2020-12-01,AVX512ER,0.0000
2020-12-01,AVX512F,0.0077
2020-12-01,AVX512PF,0.0000
2020-12-01,AVX512VNNI,0.0061
2020-12-01,SSE2,1.0000
2020-12-01,SSE3,1.0000
2020-12-01,SSE4.1,0.9869
2020-12-01,SSE4.2,0.9823
2020-12-01,SSE4a,0.2368
2020-12-01,SSSE3,0.9910
2021-01-01,AVX,0.9431
2021-01-01,AVX2,0.8023
